 --- SLAVE 2: communication_time=  5.51 seconds; computation_time=  2.84 seconds
 --- SLAVE 13: communication_time=  5.51 seconds; computation_time=  2.84 seconds
 --- SLAVE 19: communication_time=  5.51 seconds; computation_time=  2.86 seconds
 --- SLAVE 0: communication_time=  5.51 seconds; computation_time=  2.86 seconds
 --- SLAVE 27: communication_time=  5.51 seconds; computation_time=  2.88 seconds
 --- SLAVE 6: communication_time=  5.51 seconds; computation_time=  2.88 seconds
 --- SLAVE 15: communication_time=  5.51 seconds; computation_time=  2.88 seconds
 --- SLAVE 17: communication_time=  5.51 seconds; computation_time=  2.89 seconds
 --- SLAVE 4: communication_time=  5.51 seconds; computation_time=  2.89 seconds
 --- SLAVE 25: communication_time=  5.51 seconds; computation_time=  2.91 seconds
 --- SLAVE 24: communication_time=  5.51 seconds; computation_time=  2.93 seconds
 --- SLAVE 22: communication_time=  5.51 seconds; computation_time=  2.93 seconds
 --- SLAVE 12: communication_time=  5.51 seconds; computation_time=  2.95 seconds
 --- SLAVE 32: communication_time=  5.51 seconds; computation_time=  2.96 seconds
 --- SLAVE 23: communication_time=  5.51 seconds; computation_time=  2.97 seconds
 --- SLAVE 11: communication_time=  5.51 seconds; computation_time=  2.98 seconds
 --- SLAVE 14: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 8: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 18: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 21: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 34: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 10: communication_time=  5.51 seconds; computation_time=  2.99 seconds
 --- SLAVE 20: communication_time=  5.51 seconds; computation_time=  3.00 seconds
 --- SLAVE 29: communication_time=  5.51 seconds; computation_time=  3.00 seconds
 --- SLAVE 26: communication_time=  5.52 seconds; computation_time=  3.00 seconds
 --- SLAVE 5: communication_time=  5.51 seconds; computation_time=  3.00 seconds
 --- SLAVE 35: communication_time=  5.51 seconds; computation_time=  3.00 seconds
 --- SLAVE 9: communication_time=  5.52 seconds; computation_time=  3.01 seconds
 --- SLAVE 3: communication_time=  5.51 seconds; computation_time=  3.02 seconds
 --- SLAVE 7: communication_time=  5.51 seconds; computation_time=  3.02 seconds
 --- SLAVE 33: communication_time=  5.51 seconds; computation_time=  3.02 seconds
 --- SLAVE 30: communication_time=  5.51 seconds; computation_time=  3.03 seconds
 --- SLAVE 28: communication_time=  5.51 seconds; computation_time=  3.03 seconds
 --- SLAVE 16: communication_time=  5.51 seconds; computation_time=  3.04 seconds
 --- SLAVE 31: communication_time=  5.51 seconds; computation_time=  3.05 seconds
 --- SLAVE 1: communication_time=  5.51 seconds; computation_time=  3.05 seconds
 --- SLAVE 36: communication_time=  5.68 seconds; computation_time=  2.90 seconds
 --- SLAVE 37: communication_time=  5.62 seconds; computation_time=  2.96 seconds
 --- SLAVE 38: communication_time=  5.72 seconds; computation_time=  2.86 seconds
 --- SLAVE 39: communication_time=  5.62 seconds; computation_time=  2.96 seconds
 --- SLAVE 40: communication_time=  5.70 seconds; computation_time=  2.88 seconds
 --- SLAVE 41: communication_time=  5.58 seconds; computation_time=  3.00 seconds
 --- SLAVE 42: communication_time=  5.74 seconds; computation_time=  2.84 seconds
 --- SLAVE 43: communication_time=  5.58 seconds; computation_time=  3.01 seconds
 --- SLAVE 44: communication_time=  5.68 seconds; computation_time=  2.90 seconds
 --- SLAVE 45: communication_time=  5.57 seconds; computation_time=  3.01 seconds
 --- SLAVE 46: communication_time=  5.69 seconds; computation_time=  2.90 seconds
