 --- SLAVE 47: communication_time=  7.28 seconds; computation_time=  2.09 seconds
 --- SLAVE 38: communication_time=  7.28 seconds; computation_time=  2.10 seconds
 --- SLAVE 42: communication_time=  7.28 seconds; computation_time=  2.12 seconds
 --- SLAVE 30: communication_time=  7.29 seconds; computation_time=  2.11 seconds
 --- SLAVE 35: communication_time=  7.29 seconds; computation_time=  2.13 seconds
 --- SLAVE 43: communication_time=  7.29 seconds; computation_time=  2.14 seconds
 --- SLAVE 22: communication_time=  7.28 seconds; computation_time=  2.15 seconds
 --- SLAVE 33: communication_time=  7.29 seconds; computation_time=  2.16 seconds
 --- SLAVE 25: communication_time=  7.29 seconds; computation_time=  2.16 seconds
 --- SLAVE 1: communication_time=  7.29 seconds; computation_time=  2.16 seconds
 --- SLAVE 19: communication_time=  7.29 seconds; computation_time=  2.16 seconds
 --- SLAVE 10: communication_time=  7.30 seconds; computation_time=  2.16 seconds
 --- SLAVE 17: communication_time=  7.29 seconds; computation_time=  2.17 seconds
 --- SLAVE 26: communication_time=  7.29 seconds; computation_time=  2.17 seconds
 --- SLAVE 40: communication_time=  7.28 seconds; computation_time=  2.19 seconds
 --- SLAVE 14: communication_time=  7.28 seconds; computation_time=  2.19 seconds
 --- SLAVE 45: communication_time=  7.29 seconds; computation_time=  2.18 seconds
 --- SLAVE 18: communication_time=  7.29 seconds; computation_time=  2.19 seconds
 --- SLAVE 8: communication_time=  7.29 seconds; computation_time=  2.20 seconds
 --- SLAVE 7: communication_time=  7.29 seconds; computation_time=  2.21 seconds
 --- SLAVE 13: communication_time=  7.29 seconds; computation_time=  2.21 seconds
 --- SLAVE 6: communication_time=  7.27 seconds; computation_time=  2.23 seconds
 --- SLAVE 5: communication_time=  7.28 seconds; computation_time=  2.22 seconds
 --- SLAVE 28: communication_time=  7.29 seconds; computation_time=  2.24 seconds
 --- SLAVE 24: communication_time=  7.28 seconds; computation_time=  3.25 seconds
 --- SLAVE 39: communication_time=  7.30 seconds; computation_time=  3.24 seconds
 --- SLAVE 27: communication_time=  7.28 seconds; computation_time=  3.26 seconds
 --- SLAVE 21: communication_time=  7.28 seconds; computation_time=  3.28 seconds
 --- SLAVE 41: communication_time=  7.29 seconds; computation_time=  3.26 seconds
 --- SLAVE 16: communication_time=  7.29 seconds; computation_time=  3.27 seconds
 --- SLAVE 32: communication_time=  7.28 seconds; computation_time=  3.28 seconds
 --- SLAVE 44: communication_time=  7.29 seconds; computation_time=  3.27 seconds
 --- SLAVE 20: communication_time=  7.28 seconds; computation_time=  3.30 seconds
 --- SLAVE 37: communication_time=  7.28 seconds; computation_time=  3.30 seconds
 --- SLAVE 36: communication_time=  7.29 seconds; computation_time=  3.30 seconds
 --- SLAVE 34: communication_time=  7.28 seconds; computation_time=  3.31 seconds
 --- SLAVE 11: communication_time=  7.30 seconds; computation_time=  3.30 seconds
 --- SLAVE 12: communication_time=  7.29 seconds; computation_time=  3.30 seconds
 --- SLAVE 4: communication_time=  7.29 seconds; computation_time=  3.31 seconds
 --- SLAVE 31: communication_time=  7.29 seconds; computation_time=  3.31 seconds
 --- SLAVE 0: communication_time=  7.30 seconds; computation_time=  3.31 seconds
 --- SLAVE 15: communication_time=  7.29 seconds; computation_time=  3.33 seconds
 --- SLAVE 46: communication_time=  7.28 seconds; computation_time=  3.33 seconds
 --- SLAVE 9: communication_time=  7.28 seconds; computation_time=  3.34 seconds
 --- SLAVE 23: communication_time=  7.28 seconds; computation_time=  3.34 seconds
 --- SLAVE 2: communication_time=  7.29 seconds; computation_time=  3.33 seconds
 --- SLAVE 29: communication_time=  7.30 seconds; computation_time=  3.33 seconds
 --- SLAVE 3: communication_time=  7.29 seconds; computation_time=  3.37 seconds
 --- SLAVE 48: communication_time=  8.51 seconds; computation_time=  2.18 seconds
 --- SLAVE 49: communication_time=  7.26 seconds; computation_time=  4.47 seconds
 --- SLAVE 50: communication_time=  9.56 seconds; computation_time=  2.17 seconds
 --- SLAVE 51: communication_time=  7.26 seconds; computation_time=  4.47 seconds
 --- SLAVE 52: communication_time=  9.52 seconds; computation_time=  2.22 seconds
 --- SLAVE 53: communication_time=  9.58 seconds; computation_time=  2.16 seconds
 --- SLAVE 54: communication_time=  7.31 seconds; computation_time=  4.42 seconds
 --- SLAVE 55: communication_time=  8.10 seconds; computation_time=  3.64 seconds
 --- SLAVE 56: communication_time=  9.59 seconds; computation_time=  2.15 seconds
 --- SLAVE 57: communication_time=  7.31 seconds; computation_time=  4.43 seconds
 --- SLAVE 58: communication_time=  7.33 seconds; computation_time=  4.41 seconds
 --- SLAVE 59: communication_time=  9.56 seconds; computation_time=  2.18 seconds
 --- SLAVE 60: communication_time=  7.33 seconds; computation_time=  4.41 seconds
 --- SLAVE 61: communication_time=  9.59 seconds; computation_time=  2.15 seconds
 --- SLAVE 62: communication_time=  9.59 seconds; computation_time=  2.15 seconds
